Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow
2024-01-01,38,27,32.5,0.7,32,0,0.00,0.0
2024-01-02,41,24,32.5,09,32,0,0.00,0.0
2024-01-03,43,31,370,5.6,28,0,0.00,0.0
2024-01-04,45,23,34.0,28,31,0,0.00,0.0
2024-01-05,34,20,270,-40,38,0,0.00,0.0
2024-01-06,37,30,33.5,27,31,0,0.09,T
2024-01-07,37,24,30.5,-0.1,34,0,0.95,38
2024-01-08,36,26,310,05,34,0,0.00,0.0
2024-01-09,44,23,33.5,3.2,31,0,0.65,0.0
2024-01-10,56,44,50.0,19.8,15,0,182,0.0
2024-01-11,45,39,42.0,Hg,23,0,0.00,0.0
2024-01-12,47,36,415,116,23,0,0.00,0.0
2024-01-13,60,39,49.5,19.7,15,0,1.44,0.0
2024-01-14,41,27,34.0,43,31,0,T,T
2024-01-15,32,22,270,-2.6,38,0,0.00,0.0
2024-01-16,35,24,29.5,0.0,35,0,0.56,35
2024-01-17,27,19,23.0,-65,42,0,0.00,0.0
2024-01-18,29,18,23.5,5.9,41,0,0.00,0.0
2024-01-19,29,19,24.0,-5.3,41,0,0.00,0.0
2024-01-20,21,14,17.5,-118,47,0,T,04
2024-01-21,28,15,215,-78,43,0,0.00,0.0
2024-01-22,38,19,28.5,-08,36,0,0.00,0.0
2024-01-23,40,32,36.0,67,29,0,0.01,0.1
2024-01-24,39,32,35.5,62,29,0,0.45,09
2024-01-25,52,39,45.5,16.2,19,0,0.22,0.0
2024-01-26,41,37,39.0,O7,26,0,0.78,0.0
2024-01-27,39,35,370,V7,28,0,T,0.0
2024-01-28,37,33,35.0,5.6,30,0,0.58,02
2024-01-29,36,33,34.5,5.0,30,0,0.09,0.1
2024-01-30,33,26,29.5,0.0,35,0,T,T
2024-01-31,35,27,310,14,34,0,0.00,0.0
